[DEBUG] 2020-02-17 16:51:30.216 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
[DEBUG] 2020-02-17 16:51:30.224 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
[DEBUG] 2020-02-17 16:51:30.244 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
[INFO ] 2020-02-17 16:51:30.298 [main] Version - HHH000412: Hibernate Core {5.4.4.Final}
[DEBUG] 2020-02-17 16:51:30.300 [main] Environment - HHH000206: hibernate.properties not found
[DEBUG] 2020-02-17 16:51:30.449 [main] JaxbCfgProcessor - cfg.xml document did not define namespaces; wrapping in custom event reader to introduce namespace information
[DEBUG] 2020-02-17 16:51:30.733 [main] ServiceBinding - Overriding existing service binding [org.hibernate.secure.spi.JaccService]
[DEBUG] 2020-02-17 16:51:30.759 [main] RegionFactoryInitiator - Cannot default RegionFactory based on registered strategies as `[]` RegionFactory strategies were registered
[DEBUG] 2020-02-17 16:51:30.761 [main] RegionFactoryInitiator - Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory
[INFO ] 2020-02-17 16:51:30.782 [main] Version - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
[DEBUG] 2020-02-17 16:51:30.817 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@417ad4f3
[DEBUG] 2020-02-17 16:51:30.817 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@417ad4f3
[DEBUG] 2020-02-17 16:51:30.818 [main] BasicTypeRegistry - Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@417ad4f3
[DEBUG] 2020-02-17 16:51:30.819 [main] BasicTypeRegistry - Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@6f8d7714
[DEBUG] 2020-02-17 16:51:30.819 [main] BasicTypeRegistry - Adding type registration true_false -> org.hibernate.type.TrueFalseType@e93f3d5
[DEBUG] 2020-02-17 16:51:30.819 [main] BasicTypeRegistry - Adding type registration yes_no -> org.hibernate.type.YesNoType@7180e701
[DEBUG] 2020-02-17 16:51:30.820 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@5a865416
[DEBUG] 2020-02-17 16:51:30.820 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@5a865416
[DEBUG] 2020-02-17 16:51:30.820 [main] BasicTypeRegistry - Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@5a865416
[DEBUG] 2020-02-17 16:51:30.822 [main] BasicTypeRegistry - Adding type registration character -> org.hibernate.type.CharacterType@2375b321
[DEBUG] 2020-02-17 16:51:30.822 [main] BasicTypeRegistry - Adding type registration char -> org.hibernate.type.CharacterType@2375b321
[DEBUG] 2020-02-17 16:51:30.823 [main] BasicTypeRegistry - Adding type registration java.lang.Character -> org.hibernate.type.CharacterType@2375b321
[DEBUG] 2020-02-17 16:51:30.824 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@19f040ba
[DEBUG] 2020-02-17 16:51:30.824 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@19f040ba
[DEBUG] 2020-02-17 16:51:30.824 [main] BasicTypeRegistry - Adding type registration java.lang.Short -> org.hibernate.type.ShortType@19f040ba
[DEBUG] 2020-02-17 16:51:30.825 [main] BasicTypeRegistry - Adding type registration integer -> org.hibernate.type.IntegerType@6d6cb754
[DEBUG] 2020-02-17 16:51:30.825 [main] BasicTypeRegistry - Adding type registration int -> org.hibernate.type.IntegerType@6d6cb754
[DEBUG] 2020-02-17 16:51:30.825 [main] BasicTypeRegistry - Adding type registration java.lang.Integer -> org.hibernate.type.IntegerType@6d6cb754
[DEBUG] 2020-02-17 16:51:30.825 [main] BasicTypeRegistry - Adding type registration long -> org.hibernate.type.LongType@213deac2
[DEBUG] 2020-02-17 16:51:30.827 [main] BasicTypeRegistry - Adding type registration long -> org.hibernate.type.LongType@213deac2
[DEBUG] 2020-02-17 16:51:30.827 [main] BasicTypeRegistry - Adding type registration java.lang.Long -> org.hibernate.type.LongType@213deac2
[DEBUG] 2020-02-17 16:51:30.828 [main] BasicTypeRegistry - Adding type registration float -> org.hibernate.type.FloatType@5b5caf08
[DEBUG] 2020-02-17 16:51:30.828 [main] BasicTypeRegistry - Adding type registration float -> org.hibernate.type.FloatType@5b5caf08
[DEBUG] 2020-02-17 16:51:30.828 [main] BasicTypeRegistry - Adding type registration java.lang.Float -> org.hibernate.type.FloatType@5b5caf08
[DEBUG] 2020-02-17 16:51:30.828 [main] BasicTypeRegistry - Adding type registration double -> org.hibernate.type.DoubleType@3e6f3bae
[DEBUG] 2020-02-17 16:51:30.828 [main] BasicTypeRegistry - Adding type registration double -> org.hibernate.type.DoubleType@3e6f3bae
[DEBUG] 2020-02-17 16:51:30.828 [main] BasicTypeRegistry - Adding type registration java.lang.Double -> org.hibernate.type.DoubleType@3e6f3bae
[DEBUG] 2020-02-17 16:51:30.829 [main] BasicTypeRegistry - Adding type registration big_decimal -> org.hibernate.type.BigDecimalType@d400943
[DEBUG] 2020-02-17 16:51:30.830 [main] BasicTypeRegistry - Adding type registration java.math.BigDecimal -> org.hibernate.type.BigDecimalType@d400943
[DEBUG] 2020-02-17 16:51:30.831 [main] BasicTypeRegistry - Adding type registration big_integer -> org.hibernate.type.BigIntegerType@aed0151
[DEBUG] 2020-02-17 16:51:30.831 [main] BasicTypeRegistry - Adding type registration java.math.BigInteger -> org.hibernate.type.BigIntegerType@aed0151
[DEBUG] 2020-02-17 16:51:30.832 [main] BasicTypeRegistry - Adding type registration string -> org.hibernate.type.StringType@3a60c416
[DEBUG] 2020-02-17 16:51:30.832 [main] BasicTypeRegistry - Adding type registration java.lang.String -> org.hibernate.type.StringType@3a60c416
[DEBUG] 2020-02-17 16:51:30.833 [main] BasicTypeRegistry - Adding type registration nstring -> org.hibernate.type.StringNVarcharType@57bd2029
[DEBUG] 2020-02-17 16:51:30.833 [main] BasicTypeRegistry - Adding type registration ncharacter -> org.hibernate.type.CharacterNCharType@53667cbe
[DEBUG] 2020-02-17 16:51:30.834 [main] BasicTypeRegistry - Adding type registration url -> org.hibernate.type.UrlType@577f9109
[DEBUG] 2020-02-17 16:51:30.834 [main] BasicTypeRegistry - Adding type registration java.net.URL -> org.hibernate.type.UrlType@577f9109
[DEBUG] 2020-02-17 16:51:30.835 [main] BasicTypeRegistry - Adding type registration Duration -> org.hibernate.type.DurationType@4642b71d
[DEBUG] 2020-02-17 16:51:30.835 [main] BasicTypeRegistry - Adding type registration java.time.Duration -> org.hibernate.type.DurationType@4642b71d
[DEBUG] 2020-02-17 16:51:30.842 [main] BasicTypeRegistry - Adding type registration Instant -> org.hibernate.type.InstantType@4e558728
[DEBUG] 2020-02-17 16:51:30.842 [main] BasicTypeRegistry - Adding type registration java.time.Instant -> org.hibernate.type.InstantType@4e558728
[DEBUG] 2020-02-17 16:51:30.843 [main] BasicTypeRegistry - Adding type registration LocalDateTime -> org.hibernate.type.LocalDateTimeType@14bae047
[DEBUG] 2020-02-17 16:51:30.844 [main] BasicTypeRegistry - Adding type registration java.time.LocalDateTime -> org.hibernate.type.LocalDateTimeType@14bae047
[DEBUG] 2020-02-17 16:51:30.846 [main] BasicTypeRegistry - Adding type registration LocalDate -> org.hibernate.type.LocalDateType@29a23c3d
[DEBUG] 2020-02-17 16:51:30.847 [main] BasicTypeRegistry - Adding type registration java.time.LocalDate -> org.hibernate.type.LocalDateType@29a23c3d
[DEBUG] 2020-02-17 16:51:30.848 [main] BasicTypeRegistry - Adding type registration LocalTime -> org.hibernate.type.LocalTimeType@17ca8b92
[DEBUG] 2020-02-17 16:51:30.848 [main] BasicTypeRegistry - Adding type registration java.time.LocalTime -> org.hibernate.type.LocalTimeType@17ca8b92
[DEBUG] 2020-02-17 16:51:30.850 [main] BasicTypeRegistry - Adding type registration OffsetDateTime -> org.hibernate.type.OffsetDateTimeType@5bb3131b
[DEBUG] 2020-02-17 16:51:30.850 [main] BasicTypeRegistry - Adding type registration java.time.OffsetDateTime -> org.hibernate.type.OffsetDateTimeType@5bb3131b
[DEBUG] 2020-02-17 16:51:30.850 [main] BasicTypeRegistry - Adding type registration OffsetTime -> org.hibernate.type.OffsetTimeType@6a933be2
[DEBUG] 2020-02-17 16:51:30.851 [main] BasicTypeRegistry - Adding type registration java.time.OffsetTime -> org.hibernate.type.OffsetTimeType@6a933be2
[DEBUG] 2020-02-17 16:51:30.851 [main] BasicTypeRegistry - Adding type registration ZonedDateTime -> org.hibernate.type.ZonedDateTimeType@67207d8a
[DEBUG] 2020-02-17 16:51:30.851 [main] BasicTypeRegistry - Adding type registration java.time.ZonedDateTime -> org.hibernate.type.ZonedDateTimeType@67207d8a
[DEBUG] 2020-02-17 16:51:30.852 [main] BasicTypeRegistry - Adding type registration date -> org.hibernate.type.DateType@25c5e994
[DEBUG] 2020-02-17 16:51:30.853 [main] BasicTypeRegistry - Adding type registration java.sql.Date -> org.hibernate.type.DateType@25c5e994
[DEBUG] 2020-02-17 16:51:30.854 [main] BasicTypeRegistry - Adding type registration time -> org.hibernate.type.TimeType@70325d20
[DEBUG] 2020-02-17 16:51:30.854 [main] BasicTypeRegistry - Adding type registration java.sql.Time -> org.hibernate.type.TimeType@70325d20
[DEBUG] 2020-02-17 16:51:30.855 [main] BasicTypeRegistry - Adding type registration timestamp -> org.hibernate.type.TimestampType@187eb9a8
[DEBUG] 2020-02-17 16:51:30.855 [main] BasicTypeRegistry - Adding type registration java.sql.Timestamp -> org.hibernate.type.TimestampType@187eb9a8
[DEBUG] 2020-02-17 16:51:30.855 [main] BasicTypeRegistry - Adding type registration java.util.Date -> org.hibernate.type.TimestampType@187eb9a8
[DEBUG] 2020-02-17 16:51:30.857 [main] BasicTypeRegistry - Adding type registration dbtimestamp -> org.hibernate.type.DbTimestampType@3ff57625
[DEBUG] 2020-02-17 16:51:30.860 [main] BasicTypeRegistry - Adding type registration calendar -> org.hibernate.type.CalendarType@18fdb6cf
[DEBUG] 2020-02-17 16:51:30.861 [main] BasicTypeRegistry - Adding type registration java.util.Calendar -> org.hibernate.type.CalendarType@18fdb6cf
[DEBUG] 2020-02-17 16:51:30.861 [main] BasicTypeRegistry - Adding type registration java.util.GregorianCalendar -> org.hibernate.type.CalendarType@18fdb6cf
[DEBUG] 2020-02-17 16:51:30.861 [main] BasicTypeRegistry - Adding type registration calendar_date -> org.hibernate.type.CalendarDateType@720653c2
[DEBUG] 2020-02-17 16:51:30.862 [main] BasicTypeRegistry - Adding type registration locale -> org.hibernate.type.LocaleType@4fe01803
[DEBUG] 2020-02-17 16:51:30.862 [main] BasicTypeRegistry - Adding type registration java.util.Locale -> org.hibernate.type.LocaleType@4fe01803
[DEBUG] 2020-02-17 16:51:30.863 [main] BasicTypeRegistry - Adding type registration currency -> org.hibernate.type.CurrencyType@599f571f
[DEBUG] 2020-02-17 16:51:30.863 [main] BasicTypeRegistry - Adding type registration java.util.Currency -> org.hibernate.type.CurrencyType@599f571f
[DEBUG] 2020-02-17 16:51:30.864 [main] BasicTypeRegistry - Adding type registration timezone -> org.hibernate.type.TimeZoneType@65327f5
[DEBUG] 2020-02-17 16:51:30.864 [main] BasicTypeRegistry - Adding type registration java.util.TimeZone -> org.hibernate.type.TimeZoneType@65327f5
[DEBUG] 2020-02-17 16:51:30.865 [main] BasicTypeRegistry - Adding type registration class -> org.hibernate.type.ClassType@349d0836
[DEBUG] 2020-02-17 16:51:30.866 [main] BasicTypeRegistry - Adding type registration java.lang.Class -> org.hibernate.type.ClassType@349d0836
[DEBUG] 2020-02-17 16:51:30.869 [main] BasicTypeRegistry - Adding type registration uuid-binary -> org.hibernate.type.UUIDBinaryType@4917d36b
[DEBUG] 2020-02-17 16:51:30.870 [main] BasicTypeRegistry - Adding type registration java.util.UUID -> org.hibernate.type.UUIDBinaryType@4917d36b
[DEBUG] 2020-02-17 16:51:30.870 [main] BasicTypeRegistry - Adding type registration uuid-char -> org.hibernate.type.UUIDCharType@7b44b63d
[DEBUG] 2020-02-17 16:51:30.870 [main] BasicTypeRegistry - Adding type registration binary -> org.hibernate.type.BinaryType@66434cc8
[DEBUG] 2020-02-17 16:51:30.871 [main] BasicTypeRegistry - Adding type registration byte[] -> org.hibernate.type.BinaryType@66434cc8
[DEBUG] 2020-02-17 16:51:30.871 [main] BasicTypeRegistry - Adding type registration [B -> org.hibernate.type.BinaryType@66434cc8
[DEBUG] 2020-02-17 16:51:30.871 [main] BasicTypeRegistry - Adding type registration wrapper-binary -> org.hibernate.type.WrapperBinaryType@6d467c87
[DEBUG] 2020-02-17 16:51:30.871 [main] BasicTypeRegistry - Adding type registration Byte[] -> org.hibernate.type.WrapperBinaryType@6d467c87
[DEBUG] 2020-02-17 16:51:30.871 [main] BasicTypeRegistry - Adding type registration [Ljava.lang.Byte; -> org.hibernate.type.WrapperBinaryType@6d467c87
[DEBUG] 2020-02-17 16:51:30.872 [main] BasicTypeRegistry - Adding type registration row_version -> org.hibernate.type.RowVersionType@511d5d04
[DEBUG] 2020-02-17 16:51:30.872 [main] BasicTypeRegistry - Adding type registration image -> org.hibernate.type.ImageType@5328a9c1
[DEBUG] 2020-02-17 16:51:30.873 [main] BasicTypeRegistry - Adding type registration characters -> org.hibernate.type.CharArrayType@16fe9c29
[DEBUG] 2020-02-17 16:51:30.873 [main] BasicTypeRegistry - Adding type registration char[] -> org.hibernate.type.CharArrayType@16fe9c29
[DEBUG] 2020-02-17 16:51:30.874 [main] BasicTypeRegistry - Adding type registration [C -> org.hibernate.type.CharArrayType@16fe9c29
[DEBUG] 2020-02-17 16:51:30.875 [main] BasicTypeRegistry - Adding type registration wrapper-characters -> org.hibernate.type.CharacterArrayType@4d4960c8
[DEBUG] 2020-02-17 16:51:30.875 [main] BasicTypeRegistry - Adding type registration [Ljava.lang.Character; -> org.hibernate.type.CharacterArrayType@4d4960c8
[DEBUG] 2020-02-17 16:51:30.875 [main] BasicTypeRegistry - Adding type registration Character[] -> org.hibernate.type.CharacterArrayType@4d4960c8
[DEBUG] 2020-02-17 16:51:30.877 [main] BasicTypeRegistry - Adding type registration text -> org.hibernate.type.TextType@6d91790b
[DEBUG] 2020-02-17 16:51:30.877 [main] BasicTypeRegistry - Adding type registration ntext -> org.hibernate.type.NTextType@a567e72
[DEBUG] 2020-02-17 16:51:30.879 [main] BasicTypeRegistry - Adding type registration blob -> org.hibernate.type.BlobType@2d84cb86
[DEBUG] 2020-02-17 16:51:30.879 [main] BasicTypeRegistry - Adding type registration java.sql.Blob -> org.hibernate.type.BlobType@2d84cb86
