[DEBUG] 2020-02-17 16:50:37.323 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
[DEBUG] 2020-02-17 16:50:37.327 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
[DEBUG] 2020-02-17 16:50:37.330 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
[INFO ] 2020-02-17 16:50:37.403 [main] Version - HHH000412: Hibernate Core {5.4.4.Final}
[DEBUG] 2020-02-17 16:50:37.404 [main] Environment - HHH000206: hibernate.properties not found
[DEBUG] 2020-02-17 16:50:37.666 [main] JaxbCfgProcessor - cfg.xml document did not define namespaces; wrapping in custom event reader to introduce namespace information
[DEBUG] 2020-02-17 16:50:38.033 [main] ServiceBinding - Overriding existing service binding [org.hibernate.secure.spi.JaccService]
[DEBUG] 2020-02-17 16:50:38.048 [main] RegionFactoryInitiator - Cannot default RegionFactory based on registered strategies as `[]` RegionFactory strategies were registered
[DEBUG] 2020-02-17 16:50:38.052 [main] RegionFactoryInitiator - Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory
[INFO ] 2020-02-17 16:50:38.074 [main] Version - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
[DEBUG] 2020-02-17 16:50:38.137 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@2f6bcf87
[DEBUG] 2020-02-17 16:50:38.137 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@2f6bcf87
[DEBUG] 2020-02-17 16:50:38.137 [main] BasicTypeRegistry - Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@2f6bcf87
[DEBUG] 2020-02-17 16:50:38.138 [main] BasicTypeRegistry - Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@1e6b9a95
[DEBUG] 2020-02-17 16:50:38.140 [main] BasicTypeRegistry - Adding type registration true_false -> org.hibernate.type.TrueFalseType@4cee7fa0
[DEBUG] 2020-02-17 16:50:38.144 [main] BasicTypeRegistry - Adding type registration yes_no -> org.hibernate.type.YesNoType@4e2c95ee
[DEBUG] 2020-02-17 16:50:38.146 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@14faa38c
[DEBUG] 2020-02-17 16:50:38.146 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@14faa38c
[DEBUG] 2020-02-17 16:50:38.146 [main] BasicTypeRegistry - Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@14faa38c
[DEBUG] 2020-02-17 16:50:38.147 [main] BasicTypeRegistry - Adding type registration character -> org.hibernate.type.CharacterType@5baaae4c
[DEBUG] 2020-02-17 16:50:38.148 [main] BasicTypeRegistry - Adding type registration char -> org.hibernate.type.CharacterType@5baaae4c
[DEBUG] 2020-02-17 16:50:38.148 [main] BasicTypeRegistry - Adding type registration java.lang.Character -> org.hibernate.type.CharacterType@5baaae4c
[DEBUG] 2020-02-17 16:50:38.149 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@72ab05ed
[DEBUG] 2020-02-17 16:50:38.149 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@72ab05ed
[DEBUG] 2020-02-17 16:50:38.149 [main] BasicTypeRegistry - Adding type registration java.lang.Short -> org.hibernate.type.ShortType@72ab05ed
[DEBUG] 2020-02-17 16:50:38.151 [main] BasicTypeRegistry - Adding type registration integer -> org.hibernate.type.IntegerType@6b7d1df8
[DEBUG] 2020-02-17 16:50:38.152 [main] BasicTypeRegistry - Adding type registration int -> org.hibernate.type.IntegerType@6b7d1df8
[DEBUG] 2020-02-17 16:50:38.152 [main] BasicTypeRegistry - Adding type registration java.lang.Integer -> org.hibernate.type.IntegerType@6b7d1df8
[DEBUG] 2020-02-17 16:50:38.154 [main] BasicTypeRegistry - Adding type registration long -> org.hibernate.type.LongType@23eee4b8
[DEBUG] 2020-02-17 16:50:38.155 [main] BasicTypeRegistry - Adding type registration long -> org.hibernate.type.LongType@23eee4b8
[DEBUG] 2020-02-17 16:50:38.155 [main] BasicTypeRegistry - Adding type registration java.lang.Long -> org.hibernate.type.LongType@23eee4b8
[DEBUG] 2020-02-17 16:50:38.156 [main] BasicTypeRegistry - Adding type registration float -> org.hibernate.type.FloatType@23cd4ff2
[DEBUG] 2020-02-17 16:50:38.157 [main] BasicTypeRegistry - Adding type registration float -> org.hibernate.type.FloatType@23cd4ff2
[DEBUG] 2020-02-17 16:50:38.158 [main] BasicTypeRegistry - Adding type registration java.lang.Float -> org.hibernate.type.FloatType@23cd4ff2
[DEBUG] 2020-02-17 16:50:38.159 [main] BasicTypeRegistry - Adding type registration double -> org.hibernate.type.DoubleType@12477988
[DEBUG] 2020-02-17 16:50:38.161 [main] BasicTypeRegistry - Adding type registration double -> org.hibernate.type.DoubleType@12477988
[DEBUG] 2020-02-17 16:50:38.161 [main] BasicTypeRegistry - Adding type registration java.lang.Double -> org.hibernate.type.DoubleType@12477988
[DEBUG] 2020-02-17 16:50:38.162 [main] BasicTypeRegistry - Adding type registration big_decimal -> org.hibernate.type.BigDecimalType@22101c80
[DEBUG] 2020-02-17 16:50:38.162 [main] BasicTypeRegistry - Adding type registration java.math.BigDecimal -> org.hibernate.type.BigDecimalType@22101c80
[DEBUG] 2020-02-17 16:50:38.162 [main] BasicTypeRegistry - Adding type registration big_integer -> org.hibernate.type.BigIntegerType@267bbe1a
[DEBUG] 2020-02-17 16:50:38.162 [main] BasicTypeRegistry - Adding type registration java.math.BigInteger -> org.hibernate.type.BigIntegerType@267bbe1a
[DEBUG] 2020-02-17 16:50:38.163 [main] BasicTypeRegistry - Adding type registration string -> org.hibernate.type.StringType@60f2e0bd
[DEBUG] 2020-02-17 16:50:38.163 [main] BasicTypeRegistry - Adding type registration java.lang.String -> org.hibernate.type.StringType@60f2e0bd
[DEBUG] 2020-02-17 16:50:38.164 [main] BasicTypeRegistry - Adding type registration nstring -> org.hibernate.type.StringNVarcharType@203dd56b
[DEBUG] 2020-02-17 16:50:38.164 [main] BasicTypeRegistry - Adding type registration ncharacter -> org.hibernate.type.CharacterNCharType@1d3e6d34
[DEBUG] 2020-02-17 16:50:38.165 [main] BasicTypeRegistry - Adding type registration url -> org.hibernate.type.UrlType@4303b7f0
[DEBUG] 2020-02-17 16:50:38.165 [main] BasicTypeRegistry - Adding type registration java.net.URL -> org.hibernate.type.UrlType@4303b7f0
