[DEBUG] 2020-02-18 15:42:17.911 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
[DEBUG] 2020-02-18 15:42:17.915 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
[DEBUG] 2020-02-18 15:42:17.918 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
[INFO ] 2020-02-18 15:42:17.981 [main] Version - HHH000412: Hibernate Core {5.4.4.Final}
[DEBUG] 2020-02-18 15:42:17.982 [main] Environment - HHH000206: hibernate.properties not found
[DEBUG] 2020-02-18 15:42:18.225 [main] JaxbCfgProcessor - cfg.xml document did not define namespaces; wrapping in custom event reader to introduce namespace information
[DEBUG] 2020-02-18 15:42:18.522 [main] ServiceBinding - Overriding existing service binding [org.hibernate.secure.spi.JaccService]
[DEBUG] 2020-02-18 15:42:18.540 [main] RegionFactoryInitiator - Cannot default RegionFactory based on registered strategies as `[]` RegionFactory strategies were registered
[DEBUG] 2020-02-18 15:42:18.541 [main] RegionFactoryInitiator - Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory
[INFO ] 2020-02-18 15:42:18.554 [main] Version - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
[DEBUG] 2020-02-18 15:42:18.580 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@58f174d9
[DEBUG] 2020-02-18 15:42:18.580 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@58f174d9
[DEBUG] 2020-02-18 15:42:18.580 [main] BasicTypeRegistry - Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@58f174d9
[DEBUG] 2020-02-18 15:42:18.581 [main] BasicTypeRegistry - Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@4d6f623d
[DEBUG] 2020-02-18 15:42:18.581 [main] BasicTypeRegistry - Adding type registration true_false -> org.hibernate.type.TrueFalseType@7a26928a
[DEBUG] 2020-02-18 15:42:18.581 [main] BasicTypeRegistry - Adding type registration yes_no -> org.hibernate.type.YesNoType@d0ec63
[DEBUG] 2020-02-18 15:42:18.582 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@7ff2b8d2
[DEBUG] 2020-02-18 15:42:18.582 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@7ff2b8d2
[DEBUG] 2020-02-18 15:42:18.582 [main] BasicTypeRegistry - Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@7ff2b8d2
[DEBUG] 2020-02-18 15:42:18.583 [main] BasicTypeRegistry - Adding type registration character -> org.hibernate.type.CharacterType@5b6e8f77
[DEBUG] 2020-02-18 15:42:18.583 [main] BasicTypeRegistry - Adding type registration char -> org.hibernate.type.CharacterType@5b6e8f77
[DEBUG] 2020-02-18 15:42:18.583 [main] BasicTypeRegistry - Adding type registration java.lang.Character -> org.hibernate.type.CharacterType@5b6e8f77
[DEBUG] 2020-02-18 15:42:18.584 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@27e32fe4
